Date,Location,Raw,Speakers,Hosts,Issue date
MAY 5,Barnard Castle,"Barnard Castle - Market Place - open - air meeting- Miss Matters , Miss Dring","['Miss Matters', 'Miss Dring']",,"MAY 2 , 1913"
MAY 5,Low Fell,"Low Fell - Mrs . Warden At Home "" -Miss I. S. ' A. Beaver",['Miss I. S. A. Beaver'],,"MAY 2 , 1913"
MAY 5,Bournemouth,"Bournemouth - The Assembly Rooms - Speaker , Dr. Stancombe",['Dr. Stancombe'],,"MAY 2 , 1913"
MAY 7,Gateshead,"Gateshead - 115 , High West Street - Social Meeting for Women - Mrs . John Watson",['Mrs. John Watson'],,"MAY 2 , 1913"
MAY 7,Bersham,Bersham - Meeting,,,"MAY 2 , 1913"
MAY 7,Bristol,"Bristol - St , Agnes Vicarage , St. Paul's - Fortnightly meeting at Mrs. Rashleigh's . Tanner , Mrs. Vickery","['Tanner', 'Mrs. Vickery']",['Mrs. Rashleigh'],"MAY 2 , 1913"
MAY 7,Stocksfield-on-Tyne,Stocksfield - on - Tyne - The Institute Debate - Miss Muriel Matters ( N.U.W.S.S. ) v . Mr. Mundahl ( N.L.O.W.S. ),"['Miss Muriel Matters (N.U.W.S.S.)', 'Mr. Mundahl (N.L.O.W.S.)']",,"MAY 2 , 1913"
MAY 7,Rochdale,"Rochdale - St . Chad's Fold - Annual Meeting - Chair , Miss Lydia Kemp - Speaker , Miss I. O. Ford - Business 7.0 - Social",['Miss I. O. Ford'],,"MAY 2 , 1913"
MAY 7,Croydon,"Fru Anker ( From Norway ) -Chair , Madame Sarah Grand Croydon - Mrs . Passman's Drawing - room Meeting- Speaker , Mrs. Raokham","['Fru Anker (From Norway)', 'Mrs. Raokham']",,"MAY 2 , 1913"
MAY 7,Gateshead,"Gateshead - 115 , High West Street - Social Meeting for Women - Mrs . Howson",['Mrs. Howson'],,"MAY 2 , 1913"
MAY 7,Tunbridge Wells,"Tunbridge Wells - Town Hall - Mrs . Rackham , P.L.G.",['Mrs. Rackham'],,"MAY 2 , 1913"
MAY 7,Launceston,"Launceston - Miss Helen Fraser , Mr. Mirrlees","['Miss Helen Fraser', 'Mr. Mirrlees']",,"MAY 2 , 1913"
MAY 8,Tittle Wymondley,Tittle Wymondley - Adult School - Mrs . Watkin,['Mrs. Watkin'],,"MAY 2 , 1913"
MAY 8,Pangbourne - Upper Basildon,Pangbourne - Upper Basildon - Village Green - Mrs . Cowmeadow - Miss Hilda Jones,"['Mrs. Cowmeadow', 'Miss Hilda Jones']",,"MAY 2 , 1913"
MAY 8,Waterloo,"Waterloo - St . Faith's Hall - Debate - The Suffrage Question - The Rev. S. J. Sykes ( St. Mary's , Waterloo Park ) , Miss Leadley Brown","['The Rev. S.J. Sykes', 'Miss Leadley Brown']",,"MAY 2 , 1913"
MAY 8,Truro,"Truro - Concert Hall - Public Meeting - Chair , Coun- cillor William Rose , J.P. - Speakers , Miss Helen Fraser , Mr. W. J. Mirrless","['Miss Helen Fraser', 'Mr. W.J. Mirrless']",,"MAY 2 , 1913"
MAY 8,Houghton-le-Spring,"Houghton - le - Spring - Miners ' Hall - Miss Matters , Miss Sheard 7.30","['Miss Matters', 'Miss Sheard']",,"MAY 2 , 1913"
MAY 9,Gosforth,"Gosforth Drawing - room Meeting - Hostess , Mrs. Philip Spence Speaker , Miss Muriel Matters Chair , Miss I. S. A. Beaver",['Miss Muriel Matters'],,"MAY 2 , 1913"
MAY 9,Tiverton,Tiverton - Miss Helen Fraser and Mr. Mirrlees,"['Miss Helen Fraser', 'Mr. Mirrlees']",,"MAY 2 , 1913"
MAY 9,St. Ives,"St. Ives - The Lady Betty Balfour , Mr. Baillie Weaver , Miss Walford","['The Lady Betty Balfour', 'Mr. Baillie Weaver', 'Miss Walford']",,"MAY 2 , 1913"
MAY 9,Torquay,"Torquay - The Albert Hall Mr. J. Cameron Grant "" The White Slave Traffic "" -Chair , Colonel Burn , M.P.",['Mr. J. Cameron Grant'],,"MAY 2 , 1913"
MAY 9,Stookton-on-Tees,Stookton - on - Tees - Temperance Hall - Miss Matters 8.0,['Miss Matters'],,"MAY 2 , 1913"
MAY 10,Pangbourne,"Pangbourne Meeting in Square Speakers : Miss Helen Ward , Mrs. Cowmeadow , Miss Hilda Jones .","['Miss Helen Ward', 'Mrs. Cowmeadow', 'Miss Hilda Jones']",,"MAY 2 , 1913"
MAY 10,Budleigh Salterton,"Budleigh Salterton - Public Rooms - Miss Helen Fraser , Mr. J. Mirrlees","['Miss Helen Fraser', 'Mr. J. Mirrlees']",,"MAY 2 , 1913"
MAY 10,Saltash,Saltash - Mr . Baillie Weaver,['Mr. Baillie Weaver'],,"MAY 2 , 1913"
MAY 10,Ferryhill,"Ferryhill - Market Place - open - air meeting - Miss Matters , Miss I. S. A. Beaver","['Miss Matters', 'Miss I. S. A. Beaver']",,"MAY 2 , 1913"
MAY 2,Finchley,"Finchley - 1 , Cavendish Avenue , Church End , meeting Finchley Drawing - room Hostess , Mrs. Wood - Chair , Miss K. Smith - Speaker , Mrs. Baker",['Mrs. Baker'],,"MAY 2 , 1913"
MAY 4,Bermondsey,"Bermondsey - Oakley Place - Wesleyan Men's Own Meeting Speaker , Mrs. Stanbury ( member of the Executive Committee of the N.U.W.S.S. )",['Mrs. Stanbury'],,"MAY 2 , 1913"
MAY 4,Highgate,"Highgate Spear's Memorial Hall , Highgate Hill , near Tube station - Annual meeting- Mrs. Swanwick , paper , "" Meredith's Women , "" speech "" The Present Situa- ation "" -Chair , Mr. E. D. Morel - Musio , Mr. and Mrs. Hadrill",['Mrs. Swanwick'],,"MAY 2 , 1913"
MAY 4,West St. Panoras,"West St. Panoras - Park Chapel , Arlington Road ( near Camden Town Tube Station ) - Publio meeting - Chair , Miss Helen Ward - Speaker , Mrs. Rackham , P.L.G.",['Mrs. Rackham'],,"MAY 2 , 1913"
MAY 4,Wimbledon,"Wimbledon - Assembly Rooms Social evening- Suffrage speech , Miss M. Fielden- Music , acting , refreshments - Chair , Mr. T. Ernst Jackson",['Miss M. Fielden'],,"MAY 2 , 1913"
MAY 4,East St. Pancras,"East St. Pancras - 17 , Camden Road - Social gather- ing at Y.M.C.A. - Speaker , Miss Rinder - Tea",['Miss Rinder'],,"MAY 2 , 1913"
MAY 6,Marylebone,"Marylebone - 169 , Clarence Gate Gardens , N.W.- Drawing - room meeting - Chair , Bertram Speaker , Miss Janet Thom- son , M.A.",['Miss Janet Thomson'],,"MAY 2 , 1913"
MAY 6,Ealing,"Ealing - 16 , Freeland Road - Drawing - room meeting -Hostess , Mrs. Kennedy",,,"MAY 2 , 1913"
MAY 7,North Lambeth,"North Lambeth - The Rectory House , 214 , Lambeth Road , S.E. - Drawing - room meeting- Hostesses , The Misses Gardiner- Speaker , Mrs. Nott Bower , Influence of Women on the Criminal Law Amendment """,['Mrs. Nott Bower'],,"MAY 2 , 1913"
MAY 8,Hammersmith,"Hammersmith - 170 , The Grove , Hammersmith- Suffrage tea - Speakers , Miss donald , Mrs. A. Savory - Tea","['Miss donald', 'Mrs. A. Savory']",,"MAY 2 , 1913"
MAY 8,Islington,"Islington - Copenhagen Street - Open - air meeting- Chair , Mrs. Richardson - Speaker , Mrs. Mac- 4.30 Baker",['Mrs. Baker'],,"MAY 2 , 1913"
MAY 8,Epsom,Epsom - Annual meeting .,,,"MAY 2 , 1913"
MAY 2,St. Monans,"St. Monans - Pierhead - Mrs . Aldersley , Miss Cromp- ton , M.A.","['Mrs. Aldersley', 'Miss Crompton']",,"MAY 2 , 1913"
MAY 2,Kilconquhar Schoolroom,"Kilconquhar Schoolroom - Chair , The Rev. A. 6.0 Legge , Mrs. Aldersley , Miss Crompton","['Mrs. Aldersley', 'Miss Crompton']",,"MAY 2 , 1913"
MAY 2,Auchtermuchty,"Auchtermuchty - Victoria Hall Chair , Provost Ferlie , Miss M. Matters",['Miss M. Matters'],,"MAY 2 , 1913"
MAY 3,Edinburgh,Edinburgh - Jumble Sale - Buccleuch Street Hall,,,"MAY 2 , 1913"
MAY 3,Springfield,Springfield - The Cross - Miss Geraldine Cooke,['Miss Geraldine Cooke'],,"MAY 2 , 1913"
MAY 3,Kingsettle,Kingsettle The Cross - Miss Geraldine Cooke 3.30,['Miss Geraldine Cooke'],,"MAY 2 , 1913"
MAY 3,Leven,Leven - Shorehead - Miss Geraldine Cooke 5.0,['Miss Geraldine Cooke'],,"MAY 2 , 1913"
MAY 3,Kingsbarns,"Kingsbarns - Miss A. Crompton , M.A. 6.30",['Miss A. Crompton'],,"MAY 2 , 1913"
MAY 5,Newburgh,"Newburgh - Quarry - Miss A. Crompton , M.A. 9.30",['Miss A. Crompton'],,"MAY 2 , 1913"
MAY 5,Oraigrothie,"Oraigrothie Miss Geraldine Cooke , Miss Crompton 7.0","['Miss Geraldine Cooke', 'Miss Crompton']",,"MAY 2 , 1913"
MAY 5,Ceres,"Ceres - The Green - Miss Geraldine Cooke , Miss Crompton , M.A.","['Miss Geraldine Cooke', 'Miss Crompton']",,"MAY 2 , 1913"
MAY 5,Newburgh,"Newburgh - Town Hall Steps - Miss Margaret Robertson , B.A. , Mrs. Aldersley","['Miss Margaret Robertson', 'Mrs. Aldersley']",,"MAY 2 , 1913"
MAY 6,Cupar Market Place,"Cupar Market Place - Miss Margaret Robertson , B.A.",['Miss Margaret Robertson'],,"MAY 2 , 1913"
MAY 6,Frenchie,"Frenchie The Green - Miss Crompton , M.A. , Miss C. Muriel Craigie","['Miss Crompton', 'Miss C. Muriel Craigie']",,"MAY 2 , 1913"
MAY 6,Falkand,"Falkand - The Fountain - Miss Crompton , Miss C. Muriel Craigie","['Miss Crompton', 'Miss C. Muriel Craigie']",,"MAY 2 , 1913"
MAY 6,Leven,"Leven - Town Hall - Miss Lumsden , LL.D. , Miss Margaret Robertson , B.A .. Miss Geraldine Cooke , Mrs. Aldersley","['Miss Lumsden', 'Miss Margaret Robertson', 'Miss Geraldine Cooke', 'Mrs. Aldersley']",,"MAY 2 , 1913"
MAY 6,Edinburgh,"Edinburgh 40 , Shandwick Place "" At Home "" - Speaker , Miss Alice Low",['Miss Alice Low'],,"MAY 2 , 1913"
MAY 6,Dairsie,"Dairsie - Schoolroom - Chair , the Rev. D. Graham Webster , Miss Lumsden , LL.D.",['Miss Lumsden'],,"MAY 2 , 1913"
MAY 7,Newport,"Newport - Blyth Hall - Miss Lumsden , LL.D. , Miss Margaret Robertson , B.A. , Miss Geral- dine Cooke , Mrs. Aldersley Suffrage Resolution Carried .","['Miss Lumsden', 'Miss Margaret Robertson', 'Miss Geraldine Cooke', 'Mrs. Aldersley']",,"MAY 2 , 1913"
MAY 8,Gateshead,"Gateshead - Miss Tooke's Bible Class - Speaker , Miss Sheard",['Miss Sheard'],,"MAY 2 , 1913"
