Date,Location,Raw,Speakers,Hosts,Description,Issue date
JANUARY 24,Wandsworth,"Wandsworth - Drawing - room meeting - Speaker , Miss Thomson",['Miss Thomson'],,,"JANUARY 17 , 1913"
JANUARY 16,Edinburgh -- Inverleith Hall,"Edinburgh -- Inverleith Hall - Chair , Parish Coun- cillor Easson , Miss Muriel Matters","['Parish Councillor Easson', 'Miss Muriel Matters']",,,"JANUARY 17 , 1913"
JANUARY 17,"Glasgow - Office, 202, Hope Street","Glasgow - Office , 202 , Hope Street - Hostess , Mrs. Wood . Speaker , Miss Irwin , "" Sweating and the Vote """,['Miss Irwin'],['Mrs. Wood'],,"JANUARY 17 , 1913"
JANUARY 17,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place - Chair , Mr. John McMichael , J.P. , Miss Muriel Matters","['Mr. John McMichael', 'Miss Muriel Matters']",,,"JANUARY 17 , 1913"
JANUARY 17,Edinburgh Lauriston Hall,"Edinburgh Lauriston Hall - Dramatic Entertain- ment , "" Just to get Married "" -Miss Carmouche and Miss Jean Pagan","['Miss Carmouche', 'Miss Jean Pagan']",,"Dramatic Entertainment, ""Just to get Married""","JANUARY 17 , 1913"
JANUARY 17,Winchburgh,"Winchburgh - I.L.P Meeting - Miss Muriel Matters , Miss Lisa M. Gordon","['Miss Muriel Matters', 'Miss Lisa M. Gordon']",,,"JANUARY 17 , 1913"
JANUARY 18,Edinburgh,Edinburgh Outdoor Demonstration - Miss Muriel Matters,['Miss Muriel Matters'],,Outdoor Demonstration,"JANUARY 17 , 1913"
JANUARY 18,Ayr,Ayr - Cafe Chantant,,,,"JANUARY 17 , 1913"
JANUARY 20,Alva,Alva Meeting - Dr . Elsie Inglis,['Dr. Elsie Inglis'],,,"JANUARY 17 , 1913"
JANUARY 21,Edinburgh,Edinburgh Drawing - room meeting - Miss Bell ( Fettes Row ) -Miss Alice Low,['Miss Alice Low'],['Miss Bell'],,"JANUARY 17 , 1913"
JANUARY 23,Tranent - Wishart Church Hall,Tranent - Wishart Church Hall ( Women's Liberal Association ) Miss Alice Low,['Miss Alice Low'],,,"JANUARY 17 , 1913"
JANUARY 24,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place "" At Home "" - Miss Alice Low on "" The Political Situation """,['Miss Alice Low'],,"At Home on ""The Political Situation""","JANUARY 17 , 1913"
JANUARY 24,"Glasgow - Office, 202, Hope Street","Glasgow - Office , 202 , Hope Street - Chair , Miss M. C. Morrison . Speaker , Miss Helen Waddel "" Women under the Law ""","['Miss M. C. Morrison', 'Miss Helen Waddel']",,,"JANUARY 17 , 1913"
JANUARY 17,Chesterfield,Chesterfield Fabian Society - Mrs . Cowmeadow,['Mrs. Cowmeadow'],,,"JANUARY 17 , 1913"
JANUARY 20,Gateshead - A.S.R.S.,Gateshead - A.S.R.S. - Miss Sheard .,['Miss Sheard'],,,"JANUARY 17 , 1913"
JANUARY 22,Dronfield - Council Schools,Dronfield - Council Schools - Mrs . Cowmeadow,['Mrs. Cowmeadow'],,,"JANUARY 17 , 1913"
JANUARY 22,"Birmingham - Women's School, Acocks Green","Birmingham - Women's School , Acocks Green - Mrs . 7.30 Ring",['Mrs. Ring'],,,"JANUARY 17 , 1913"
