Date,Location,Raw,Speakers,Description,Issue date
April 4,Edinburgh,Edinburgh Mrs. Baines 7.30 p.m.,['Mrs. Baines'],,"APRIL , 1908"
April 4,"London, Portman Rooms","London , Portman Rooms , "" At Home "" Miss Christabel Pankhurst 3.30 p.m.-",['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 4,"Plymouth, Co-operative Guild","Plymouth , Co - operative Guild Miss Nell Kenney 8 p.m.",['Miss Nell Kenney'],,"APRIL , 1908"
April 4,"Skelton, open air","Skelton , open air Mrs. Baines 8 p.m.",['Mrs. Baines'],,"APRIL , 1908"
April 4,"Bradford, Tong","Bradford , Tong Miss A. Pankhurst 3 p.m.",['Miss A. Pankhurst'],,"APRIL , 1908"
April 5,"Lancaster, Hippodrome","Lancaster , Hippodrome Miss Annie Kenney , Miss Crocker 7 p.m.","['Miss Annie Kenney', 'Miss Crocker']",,"APRIL , 1908"
April 6,"Bradford, St. George's Hall","Bradford , St. George's Hall Miss A. Pankhurst 8 p.m.",['Miss A. Pankhurst'],,"APRIL , 1908"
April 6,"London, Portman Rooms","London , Portman Rooms , "" At Home "" Mrs. Pethick Lawrence , Miss Christabel Pankhurst 3-5 p.m.","['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",,"APRIL , 1908"
April 7,"London, Portman Rooms","London , Portman Rooins , Lecture Miss Christabel Pankhurst 8.30 p.m.-",['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 7,"Leeds, Branch Meeting","Leeds , Branch Meeting Miss A. Pankhurst 8 p.m.",['Miss A. Pankhurst'],,"APRIL , 1908"
April 8,"Northampton, Temperance Hall","Northampton . Temperance Hall , "" At Home "" Mrs. Pankhurst and others 4-6 p.m.",['Mrs. Pankhurst'],,"APRIL , 1908"
April 8,"Northampton, Temperance Hall","Northampton , Temperance Hall , Public Meeting Mrs. Pankhurst and others ; 8 p.m.",['Mrs. Pankhurst'],,"APRIL , 1908"
April 8,"Kensington, Town Hall","Kensington , Town Hall Mrs. Pethick Lawrence , Miss Annie Kenney 8 p.m.","['Mrs. Pethick Lawrence', 'Miss Annie Kenney']",,"APRIL , 1908"
April 8,"Chiswick, Grove Park","Chiswick , Grove Park , Drawing Room Meeting Miss Isabel Seymour 8.15 p.m.",['Miss Isabel Seymour'],,"APRIL , 1908"
April 9,"London, Pioneer Club","London , Pioneer Club Mrs. Pethick Lawrence 8-10 p.m.-",['Mrs. Pethick Lawrence'],,"APRIL , 1908"
April 9,"London, Portman Rooms","London , Portman Rooms , "" At Home "" Miss Christabel Pankhurst 4-6 p.m.",['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 11,"Nottingham, Victoria Station Hotel","Nottingham , Victoria Station Hotel , "" At Home . "" 4-6",,"""At Home.""","APRIL , 1908"
April 13,"London, Portman Rooms","London , Portman Rooms , "" At Home "" Miss Christabel Pankhurst 4-6",['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 15,"Plymouth, Guildhall","Plymouth , Guildhall Miss Christabel Pankhurst , Miss Nell Kenney , and others 8 p.m.","['Miss Christabel Pankhurst', 'Miss Nell Kenney']",,"APRIL , 1908"
April 27,"London, Portman Rooms","London , Portman Rooms , "" At Home "" Mrs. Pethick Lawrence , Miss Christabel Pankhurst 3.30 p.m.","['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",,"APRIL , 1908"
April 28,"London, Women's Liberal Association, 62, King's Road","London , Women's Liberal Asso- ciation , 62 , King's Road Miss Christabel Pankhurst 8 p.m.",['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 30,"London, Portman Rooms","London , Portman Rooms "" At Home , """,,"""At Home,""","APRIL , 1908"
May 26,"London, St. James's Theatre, St. James's, S.W.","May 26 London , St. James's Theatre , St. James's , S.W. Mrs. Pankhurst , Mrs. Pethick Lawrence , Miss Christabel Pankhurst , Miss Mary Gaw- thorpe 3 p.m.","['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst', 'Miss Mary Gawthorpe']",,"APRIL , 1908"
June 21,Hyde Park,June 21 Hyde Park Demonstration All the Leaders,['All the Leaders'],Demonstration,"APRIL , 1908"
April,Bradford,Bradford Miss Mary Gawthorpe 8 p.m.,['Miss Mary Gawthorpe'],,"APRIL , 1908"
April,"Devonport, Keyham Gates","Devonport , Keyham Gates Miss A. Pankhurst 8 p.m.",['Miss A. Pankhurst'],,"APRIL , 1908"
April,"Glasgow, Athenæum","Glasgow , Athenæum Mrs. Pankhurst , Mrs. Pethick Lawrence , Miss Fraser 8 p.m.","['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Fraser']",,"APRIL , 1908"
April 3,"Teignmouth, Assembly Rooms","Teignmouth , Assembly Rooms Miss Annie Kenney 7.30 p.m.",['Miss Annie Kenney'],,"APRIL , 1908"
April 5,Lancaster . Market Place,Lancaster . Market Place Mrs. Baines 4-6 p.m.,['Mrs. Baines'],,"APRIL , 1908"
April 5,"Bradford, Wakefield Road","Bradford , Wakefield Road Miss A. Pankhurst 8.30 p.m.-",['Miss A. Pankhurst'],,"APRIL , 1908"
April 5,"Newton Abbot, Alexandra Hall","Newton Abbot , Alexandra Hall Miss A. Pankhurst 8 p.m.",['Miss A. Pankhurst'],,"APRIL , 1908"
April 6,"Bradford, Quarry-street, Heaton","Bradford , Quarry - street , Heaton Mrs. Pankhurst , Miss Mary Gawthorpe , Mrs. Baines , Mrs. Rigby 8 p.m.","['Mrs. Pankhurst', 'Miss Mary Gawthorpe', 'Mrs. Baines', 'Mrs. Rigby']",,"APRIL , 1908"
April 6,"Dewsbury, Conservative Association","Dewsbury , Conservative Asso- ciation Miss Mary Gawthorpe 8 p.m.",['Miss Mary Gawthorpe'],,"APRIL , 1908"
April 11,Plymouth,Plymouth Miss Christabel Pankhurst 4-6 p.m.,['Miss Christabel Pankhurst'],,"APRIL , 1908"
April 15,"London, Addison Hall, Kensington","London , Addison Hall , Kensington Mrs. Pethick Lawrence and Miss Annie Kenney , and other released prisoners 8 p.m.","['Mrs. Pethick Lawrence', 'Miss Annie Kenney']",,"APRIL , 1908"
