Date,Location,Raw,Speakers,Description,Hosts,Issue date
MARCH 9,Sutton Coldfield Town Hall,Sutton Coldfield Town Hall - Miss C. Hamilton's Anti - Suffrage Waxworks and Dr. Waite's Play .,,Miss C. Hamilton's Anti - Suffrage Waxworks and Dr. Waite's Play,,"MARCH 2 , 1911"
MARCH 9,Hove Town Hall,"Hove Town Hall - Miss Maude Royden , Mr. Cecil Chapman .","['Miss Maude Royden', 'Mr. Cecil Chapman']",,,"MARCH 2 , 1911"
MARCH 9,Whaley Bridge,Whaley Bridge - Open - air Meeting - Miss Robertson .,['Miss Robertson'],Open - air Meeting,,"MARCH 2 , 1911"
MARCH 10,Oxted,Oxted Mrs. Kitchin's Drawing - room Meeting - Mrs . Stanbury .,['Mrs . Stanbury'],,['Mrs. Kitchin'],"MARCH 2 , 1911"
MARCH 10,Reigate Lesbourne Parish Hall,"Reigate Lesbourne Parish Hall - Mrs . Auerbach ( chair ) , Mrs. Cooper , Miss A. M. Royden .","['Mrs . Auerbach', 'Mrs. Cooper', 'Miss A. M. Royden']",,,"MARCH 2 , 1911"
MARCH 10,Whaley Bridge,Whaley Bridge - Open - air Meeting - Miss Robertson .,['Miss Robertson'],Open - air Meeting,,"MARCH 2 , 1911"
MARCH 10,Bolton - Girl's Recreation Club,Bolton - Girl's Recreation Club - Annual Meeting - Miss Robert- son .,['Miss Robertson'],Annual Meeting,,"MARCH 2 , 1911"
MARCH 13,New Shildon - Friends ' Meeting House,"New Shildon - Friends ' Meeting House - Miss Lucas ( chair ) , Miss C. M. Gordon , M.A.","['Miss Lucas', 'Miss C. M. Gordon , M.A.']",,,"MARCH 2 , 1911"
MARCH 13,Whaley Bridge - Mechanics ' Institute,"Whaley Bridge - Mechanics ' Institute Miss Robertson , Mr. Barnes .","['Miss Robertson', 'Mr. Barnes']",,,"MARCH 2 , 1911"
MARCH 14,"Stockport 19 , Tiviot Dale","Stockport 19 , Tiviot Dale - Mrs . Rayner's Meeting - Miss C. M. Gordon .",['Miss C. M. Gordon'],Mrs . Rayner's Meeting,,"MARCH 2 , 1911"
MARCH 14,"Bournemouth - Assembly Rooms , Town Hall Avenue","Bournemouth - Assembly Rooms , Town Hall Avenue - At Home -Miss Knapp .",['Miss Knapp'],At Home,,"MARCH 2 , 1911"
MARCH 14,Bradford - Mechanics ' Institute,"Bradford - Mechanics ' Institute - Miss Ashton , Mrs. Parrish .","['Miss Ashton', 'Mrs. Parrish']",,,"MARCH 2 , 1911"
MARCH 14,Withington,Withington - Mrs . Creak's Drawing - room Meeting - Miss Robert- son .,['Miss Robertson'],,['Mrs . Creak'],"MARCH 2 , 1911"
MARCH 15,"Nottingham - 54 , Long Row","Nottingham - 54 , Long Row- "" George Meredith and Women "" - Mrs. W. E. Dowson .",['Mrs. W. E. Dowson'],,,"MARCH 2 , 1911"
MARCH 15,"Newcastle - on - Tyne - 27 , Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place "" Women and Local Government "" -Mrs . Gray .",['Mrs . Gray'],,,"MARCH 2 , 1911"
MARCH 15,Dorking Public Hall,"Dorking Public Hall - Debate - Lord Lytton , Mr. F. E. Bray .","['Lord Lytton', 'Mr. F. E. Bray']",Debate,,"MARCH 2 , 1911"
MARCH 16,Oxted - Assembly Room,"Oxted - Assembly Room - Debate - Mrs . Rackham , Miss Mabel Smith .","['Mrs . Rackham', 'Miss Mabel Smith']",Debate,,"MARCH 2 , 1911"
MARCH 2,"Enfield , Waltham Cross Co - op . Guild","Enfield , Waltham Cross Co - op . Guild , Miss E. A. Bompas .",['Miss E. A. Bompas'],,,"MARCH 2 , 1911"
MARCH 2,"St. Pancras , Mrs. Fenton's Drawing - room","St. Pancras , Mrs. Fenton's Drawing - room Meeting , Mrs. Stanbury .",['Mrs. Stanbury'],,,"MARCH 2 , 1911"
MARCH 3,"Enfield , Mrs. Nicholson's Drawing - room","Enfield , Mrs. Nicholson's Drawing - room Meeting , Miss Lowndes .",['Miss Lowndes'],,,"MARCH 2 , 1911"
MARCH 3,"N. Hackney , St. Andrew's Hall , Stamford Hill","N. Hackney , St. Andrew's Hall , Stamford Hill , Miss Abadam , Miss Maude Royden .","['Miss Abadam', 'Miss Maude Royden']",,,"MARCH 2 , 1911"
MARCH 4,"Norwood , Suffrage Offices","Norwood , Suffrage Offices , Miss Abadam , Miss Maude Royden .","['Miss Abadam', 'Miss Maude Royden']",,,"MARCH 2 , 1911"
MARCH 6,"S. Paddington , Ethical Church","S. Paddington , Ethical Church , Miss Abadam , Miss Ransom , Dr. Stanton Coit ( chair ) .","['Miss Abadam', 'Miss Ransom', 'Dr. Stanton Coit']",,,"MARCH 2 , 1911"
MARCH 7,"S. Kensington , Mrs. Rendel's Drawing - room","S. Kensington , Mrs. Rendel's Drawing - room Meeting , Miss Ruth Young .",['Miss Ruth Young'],,,"MARCH 2 , 1911"
MARCH 8,"Richmond , Miss Bailey's At Home","Richmond , Miss Bailey's At Home , Mrs. Corbett Ashby .",['Mrs. Corbett Ashby'],,,"MARCH 2 , 1911"
MARCH 9,"Highgate and E. St. Pancras , St. Augustines Hall , Langdon Park Road","Highgate and E. St. Pancras , St. Augustines Hall , Langdon Park Road , "" Pillars of Society , "" Miss Bessle's Company .","[""Miss Bessle's Company""]",""" Pillars of Society , """,,"MARCH 2 , 1911"
MARCH 9,"Kensington , Mrs. Wirgman's Drawing - room","Kensington , Mrs. Wirgman's Drawing - room Meeting , Debate , Miss C. Corbett , B.A.","['Miss C. Corbett , B.A.']",Debate,,"MARCH 2 , 1911"
MARCH 14,"S. Wimbledon , Johnson's Rooms , Broadway","S. Wimbledon , Johnson's Rooms , Broadway , Miss Agnes Dawson .",['Miss Agnes Dawson'],,,"MARCH 2 , 1911"
MARCH 15,"Ewell , Mrs. Homan's Drawing - room","Ewell , Mrs. Homan's Drawing - room Meeting ; lecture , "" Florence Nightingale , "" Miss Janet Thomson .",['Miss Janet Thomson'],"lecture , "" Florence Nightingale , """,,"MARCH 2 , 1911"
MARCH 15,"N. and S. Paddington , Gymnasium , adjoining West- bourne Park Chapel","N. and S. Paddington , Gymnasium , adjoining West- bourne Park Chapel , Social Meeting .",,Social Meeting,,"MARCH 2 , 1911"
MARCH 15,"Queen's Hall , Langham Place","Queen's Hall , Langham Place , Public Reception ( for speakers see page 764 ) .",,Public Reception ( for speakers see page 764 ),,"MARCH 2 , 1911"
MARCH 2,"Kilmarnock , Y.M.C.A. Hall","Kilmarnock , Y.M.C.A. Hall , Miss Kirby .",['Miss Kirby'],,,"MARCH 2 , 1911"
MARCH 2,"Kilmarnock , Y.M.C.A. Hall","Kilmarnock , Y.M.C.A. Hall , Miss Kirby .",['Miss Kirby'],,,"MARCH 2 , 1911"
MARCH 3,"Edinburgh , 40 , Shandwick Place","Edinburgh , 40 , Shandwick Place , "" Women and the Empire , "" Miss Williamson .",['Miss Williamson'],,,"MARCH 2 , 1911"
MARCH 3,"Glasgow , 58 , Renfield Street","Glasgow , 58 , Renfield Street , "" The Patriotism of Women , "" Mrs. France .",['Mrs. France'],,,"MARCH 2 , 1911"
MARCH 7,"Kilmarnock , Oddfellows ' Hall","Kilmarnock , Oddfellows ' Hall , Dr. Elsie Inglis , Miss Kirby .","['Dr. Elsie Inglis', 'Miss Kirby']",,,"MARCH 2 , 1911"
MARCH 9,"Dalkeith , Buccleuch Street Hall","Dalkeith , Buccleuch Street Hall , Miss Chrystal Mac- millan , Miss C. M. Gordon .","['Miss Chrystal Mac- millan', 'Miss C. M. Gordon']",,,"MARCH 2 , 1911"
MARCH 9,"Gullane , Public Hall","Gullane , Public Hall , Miss Alice Low , Miss Lisa Gordon .","['Miss Alice Low', 'Miss Lisa Gordon']",,,"MARCH 2 , 1911"
MARCH 10,"Edinburgh , 40 , Shandwick Place","Edinburgh , 40 , Shandwick Place , At Home , Miss 0. M. Gordon .",['Miss 0. M. Gordon'],At Home,,"MARCH 2 , 1911"
MARCH 10,"Glasgow , 58 , Renfield Street","Glasgow , 58 , Renfield Street , Miss Buchanan's At Home .",,Miss Buchanan's At Home,,"MARCH 2 , 1911"
MARCH 14,"Portobello , Dairy Hall","Portobello , Dairy Hall , Dr. Elsie Inglis , Miss Alice Low .","['Dr. Elsie Inglis', 'Miss Alice Low']",,,"MARCH 2 , 1911"
MARCH 15,"Edinburgh , 9 , Melville Street","Edinburgh , 9 , Melville Street , Reception .",,Reception,,"MARCH 2 , 1911"
