Date,Location,Raw,Speakers,Description,Issue date
MAY 30,Birmingham - Labour Club; Saltley,Birmingham - Labour Club ; Saltley - Women's Labour League -Mrs . Ring .,['Mrs. Ring'],,1911-05-25
MAY 30,Burnham - The Pavilion,"Burnham - The Pavilion - Mrs . W. C. H. Cross , Dr. Morris , Mr. Spencer .","['Mrs. W. C. H. Cross', 'Dr. Morris', 'Mr. Spencer']",,1911-05-25
MAY 31,"Bristol - St. Ulrich, Downs Park West","Bristol - St . Ulrich , Downs Park West - Working Party .",,,1911-05-25
MAY 31,Knutsford King's Coffee House,"Knutsford King's Coffee House "" At Home "" -Miss Robert- son .",['Miss Robertson'],,1911-05-25
JUNE 1,Wigan Market Square,Wigan Market Square - Miss Robertson .,['Miss Robertson'],,1911-05-25
JUNE 1,Birmingham - Grand Hotel,Birmingham - Grand Hotel - Annual Meeting - Mrs . Sanderson ; Mrs. Osler ( chair ) .`,"['Mrs. Sanderson', 'Mrs. Osler']",,1911-05-25
JUNE 1,Leamington - Birch's Music Rooms,Leamington - Birch's Music Rooms - Franchise Club .,,,1911-05-25
JUNE 2,Ashton-under-Lyne Market Place,Ashton - under - Lyne Market Place - Miss Robertson .,['Miss Robertson'],,1911-05-25
JUNE 8,"Sutton Coldfield - Allerton, Lichfield Road","Sutton Coldfield - Allerton , Lichfield Road - Garden Sale .",,Garden Sale.,1911-05-25
JUNE 8,"Birmingham - 10, Easy Row","Birmingham - 10 , Easy Row - Franchise Club .",,,1911-05-25
MAY 25,"Blackheath, St. German's Lodge, Shooters Hill Road","Blackheath , St. German's Lodge , Shooters Hill Road , "" At Home , "" Miss Helen Ward .",['Miss Helen Ward'],"""At Home""",1911-05-25
MAY 26,Hackney Town Hall,"Hackney , Town Hall , Mrs. Fawcett , Mrs. Abbott , Dr. W. F. Cobb . Chair , Mayor of Hackney .","['Mrs. Fawcett', 'Mrs. Abbott', 'Dr. W. F. Cobb', 'Mayor of Hackney']",,1911-05-25
MAY 26,"S. Kensington, Mrs. Hogg's Drawing-room","S. Kensington , Mrs. Hogg's Drawing - room Meeting , Miss Gadsden , Miss G. Dykes Spicer .","['Miss Gadsden', 'Miss G. Dykes Spicer']",,1911-05-25
MAY 26,"N. Kensington, Horbury Rooms","N. Kensington , Horbury Rooms , Miss C. Corbett , Rev. Hugh Chapman , J. Malcolm Mitchell , Esq . Chair , Miss Frances Sterling .","['Miss C. Corbett', 'Rev. Hugh Chapman', 'J. Malcolm Mitchell', 'Miss Frances Sterling']",,1911-05-25
MAY 26,"Surbiton, St. Andrew's House","Surbiton , St. Andrew's House , "" The Care of Defec- tive Children , "" Mrs. Homan .",['Mrs. Homan'],"""The Care of Defective Children""",1911-05-25
MAY 27,Norwood Suffrage Offices,"Norwood , Suffrage Offices , Miss Eva Moore , Miss Abadam .","['Miss Eva Moore', 'Miss Abadam']",,1911-05-25
MAY 30,"International Women's Franchise Club, 9, Grafton Street, W.","International Women's Franchise Club , 9 , Grafton Street , W. , "" The Repertory Theatre , ' Horniman . Miss",['Miss Horniman'],"""The Repertory Theatre""",1911-05-25
MAY 31,"Ealing, Victoria Hall","Ealing , Victoria Hall , Mrs. Fawcett , R. F. Cholmeley , Esq . Chair , Major - Gen . Sir A. Turner , K.C.B.","['Mrs. Fawcett', 'R. F. Cholmeley', 'Major-Gen. Sir A. Turner']",,1911-05-25
JUNE 7,"S. Paddington, Kensington College, Bayswater","S. Paddington , Kensington College , Bayswater , Miss G. Lindo Henry , Miss C. Corbett , B.A. Chair , Mrs. J. Munford .","['Miss G. Lindo Henry', 'Miss C. Corbett', 'Mrs. J. Munford']",,1911-05-25
MAY 26,"Edinburgh, Oddfellows' Hall","Edinburgh , Oddfellows ' Hall , Miss A. Maude Royden , Miss I. O. Ford . Chair , Miss S. E. S. Mair .","['Miss A. Maude Royden', 'Miss I. O. Ford', 'Miss S. E. S. Mair']",,1911-05-25
MAY 27,"Peebles, Chambers' Institute","Peebles , Chambers ' Institute , Papers by Rev. J. Murray and Mrs. W. C. Ker .","['Rev. J. Murray', 'Mrs. W. C. Ker']",Papers by Rev. J. Murray and Mrs. W. C. Ker.,1911-05-25
JUNE 2,"Edinburgh, 40, Shandwick Place","Edinburgh , 40 , Shandwick Place , "" At Home , "" "" Vigilance Work and Its Relation to the Vote , "" Mrs. Hunter .",['Mrs. Hunter'],"""Vigilance Work and Its Relation to the Vote""",1911-05-25
JUNE 2,"Edinburgh, Church Hall, Blackhall","Edinburgh , Church Hall , Blackhall , Miss Alice Low , Dr. Elsie Inglis . Chair , J. Taylor , Esq . , M.A.","['Miss Alice Low', 'Dr. Elsie Inglis', 'J. Taylor']",,1911-05-25
JUNE 3,"Peebles, Chambers' Institute","Peebles , Chambers ' Institute , Cake and Candy Sale .",,Cake and Candy Sale.,1911-05-25
JUNE 9,"Edinburgh, 40, Shandwick Place","Edinburgh , 40 , Shandwick Place , "" At Home . """,,,1911-05-25
