Date,Location,Raw,Speakers,Hosts,Description,Issue date
MAR . 14,Reading,"Reading , The Butts . Miss Olive Garrett",['Miss Olive Garrett'],,,"March 14 , 1913"
MAR . 14,Redhill,"Redhill , Carlton Room . Lantern Lecture",,,Lantern Lecture,"March 14 , 1913"
MAR . 14,Scarborough,"Scarborough , Damun House , Prince of Wales ' - terrace . "" At Home . "" Miss Jarvis . Chair : Mrs. Kirkam . Mrs. Piper .","['Miss Jarvis', 'Mrs. Kirkam', 'Mrs. Piper']",,"""At Home""","March 14 , 1913"
MAR . 15,Barrow,"Barrow , Lyceum Hall , Dalkeith - street . Surprise Sale",,,Surprise Sale,"March 14 , 1913"
MAR . 15-21,Brighton,"Brighton , Seafront . Miss Shaw",['Miss Shaw'],,,"March 14 , 1913"
MAR . 15,Bristol,"Bristol , Co - operative Hall . Fishponds . Miss Pridden . Musical and Dramatic Entertainment",['Miss Pridden'],,Musical and Dramatic Entertainment,"March 14 , 1913"
MAR . 15,Dundee,"Dundee , Foresters Halls . Cake and Candy Sale and Dramatic Entertainment . Opened by Miss J. C. Methvan",,,Cake and Candy Sale and Dramatic Entertainment. Opened by Miss J.C. Methvan,"March 14 , 1913"
MAR . 15,Edinburgh,"Edinburgh , West End . Miss M. Burn Murdoch . Chair : Miss Lambie","['Miss M. Burn Murdoch', 'Miss Lambie']",,,"March 14 , 1913"
MAR . 15,Edinburgh,"Edinburgh , St. David - street . Miss M. Scott . Chair : Miss Fitzroy","['Miss M. Scott', 'Miss Fitzroy']",,,"March 14 , 1913"
MAR . 15,Edinburgh,"Edinburgh , Haymarket . Mis A. Scott . Chair : Miss Brown","['Mis A. Scott', 'Miss Brown']",,,"March 14 , 1913"
MAR . 15,Edinburgh,"Edinburgh , Leith - walk . Miss E. Macdonald . Chair : Miss Heard","['Miss E. Macdonald', 'Miss Heard']",,,"March 14 , 1913"
MAR . 15,Edinburgh,"Edinburgh , Mound . The Misses Scott",['The Misses Scott'],,,"March 14 , 1913"
MAR . 15,York,"York , Assembly Rooms . "" At Home . "" Miss Jarvis . Hostesses Mrs. Coultate , Mrs. Storey Mrs. Holmes","['Miss Jarvis', 'Mrs. Coultate', 'Mrs. Storey', 'Mrs. Holmes']",,"""At Home""","March 14 , 1913"
MAR . 16,Brighton,"Brighton , 8 , North - street Quadrant . At Home """,,,At Home,"March 14 , 1913"
MAR . 17,Hastings,"Hastings , Lower Public Hall . At Home . "" Miss Macaulay",['Miss Macaulay'],,At Home,"March 14 , 1913"
MAR . 17,Norwich,"Norwich , Women's Labour League . Miss Margaret West",['Miss Margaret West'],,,"March 14 , 1913"
MAR . 18,Barrow,"Barrow , Cavendish - square . Miss Grew . Chair : Mr. F. Robinson","['Miss Grew', 'Mr. F. Robinson']",,,"March 14 , 1913"
MAR . 17,Bexhill,"Bexhill , W.S.P.U. Shop . Miss Macaulay",['Miss Macaulay'],,,"March 14 , 1913"
MAR . 18,Bo'ness,"Bo'ness , Masonic Temple . Miss Edith Hudson",['Miss Edith Hudson'],,,"March 14 , 1913"
MAR . 18,Cardiff,"Cardiff , 109 , Queen - street , Mr K. Gatty",['Mr. K. Gatty'],,,"March 14 , 1913"
MAR . 18,Norwich,"Norwich , Coltishall . Debate . Mr. S. Hemsley .",['Mr. S. Hemsley'],,Debate,"March 14 , 1913"
MAR . 19,Eastbourne,"Eastbourne , Grove - road . Mrs. A. J. Webbe",['Mrs. A.J. Webbe'],,,"March 14 , 1913"
MAR . 20,Cardiff,"Cardiff , 109 , Queen - street .",,,,"March 14 , 1913"
MAR . 20,Dundee,"Dundee , 61 , Nethergate",,,,"March 14 , 1913"
MAR . 20,Newcastle,"Newcastle , 77 , Blackett - street . Miss E. Fussell",['Miss E. Fussell'],,,"March 14 , 1913"
