Date,Location,Raw,Speakers,Issue date
APRIL 21,Sheffield St. James ' Schoolroom,Sheffield St. James ' Schoolroom - Jumble Sale,,"APRIL 18 , 1913"
APRIL 21,"Salford - Oldfield Hall , Gardenwall Street","Salford - Oldfield Hall , Gardenwall Street",,"APRIL 18 , 1913"
APRIL 21,Croydon,"Croydon - Mrs . Ackroyd , "" School Clinics """,,"APRIL 18 , 1913"
APRIL 22,Lowestoft,Lowestoft -Mrs . Swanwick,,"APRIL 18 , 1913"
APRIL 22,Accrington Oswaldtwistle Weavers ' Institute,"Accrington Oswaldtwistle Weavers ' Institute Chair , Mr. Hartley - Speakers , M. T. Richardson , M.P. , Mrs. Annott Robinson .",,"APRIL 18 , 1913"
APRIL 22,Bacup Natural History Rooms,"Bacup Natural History Rooms - Chair , Mr. Thomas Howorth Speaker , Mrs. A. Nield",,"APRIL 18 , 1913"
APRIL 22,"Farnham - Ranson's Rooms , South Street","Farnham - Ranson's Rooms , South Street - Mrs . R. Durand , on "" Where Women Vote "" Tea , 4.30 ; meeting , 5.0",,"APRIL 18 , 1913"
APRIL 22,Waterloo Park Beech Lawn,Waterloo Park Beech Lawn Drawing - room meeting - Discussion,,"APRIL 18 , 1913"
APRIL 23,Becoles - Lecture Hall,"Becoles - Lecture Hall - Public meeting - Mrs . Swan- wick , M.A. - Chair , The Rev. F. W. Bennett Symons",,"APRIL 18 , 1913"
APRIL 23,Darlington - Temperance Institute,"Darlington - Temperance Institute - Hostess , Mrs. Baynes - Speaker , Mrs. J. D. Billcliffe",,"APRIL 18 , 1913"
APRIL 23,Kirkheaton Socialist Club,"Kirkheaton Socialist Club Chair , Miss Siddons- Speakers , Miss I. O. Ford , Mrs. Renton -Socialist Club - Chair , Miss Siddons- Speakers , Miss I. O. Ford , Mrs. Renton",,"APRIL 18 , 1913"
APRIL 23,Diss - Assembly Rooms,"Diss - Assembly Rooms - Public meeting - Speakers , Mrs. Swanwick , M.A. , Miss Colman",,"APRIL 18 , 1913"
APRIL 23,"Leeds - 9 , Park Lane","Leeds - 9 , Park Lane "" At Home """,,"APRIL 18 , 1913"
APRIL 23,"Dudley Temperance Café , High Street","Dudley Temperance Café , High Street , -H.H . the Ranee of Sarawak , Mrs. Harley , Miss Noel Wright",,"APRIL 18 , 1913"
APRIL 23,Great Bookham - Victoria Hall,"Great Bookham - Victoria Hall - Public Meeting- Chair , Mrs. Homan - Speakers , Mrs. Ashby Corbett , Mr. Cameron Grant .",,"APRIL 18 , 1913"
APRIL 23,Mrs. Standford Avenue,"Mrs. Standford Avenue Hostess , Hardy - Miss Florence Haythar , on "" Women in Art and Literature",,"APRIL 18 , 1913"
APRIL 23,"Gateshead - Suffrage office , 115 , High West Street","Gateshead - Suffrage office , 115 , High West Street- Brighton - 9 , Lowestoft 33 - Beaconsfield Lecture Hall Meeting ( women only ) -Mrs . Swanwick , M.A. , "" White Slave Traffic "" -Beaconsfield Lecture Hall - Mrs . Swan- wick , M.A. , "" The Use of the Vote """,,"APRIL 18 , 1913"
APRIL 23,"Hull Church Institute , Albion Street","Hull Church Institute , Albion Street - Speaker , Miss Geraldine Cooke - Chair , Miss Annie Jackson",,"APRIL 18 , 1913"
APRIL 23,"Bristol St. Agnes Vicarage , St. Paul's","Bristol St. Agnes Vicarage , St. Paul's - Fortnightly meeting - Mrs . W. C. H. Cross , Mrs. Rashleigh",,"APRIL 18 , 1913"
APRIL 23,Bridgenorth,Bridgenorth - Miss Abadam,,"APRIL 18 , 1913"
APRIL 23,Norwich Thatched Assembly Rooms,"Norwich Thatched Assembly Rooms - Annual meeting - Speaker , Mr. Cameron J. Grant - Chair , Mrs. James Stuart",,"APRIL 18 , 1913"
APRIL 23,The Beeches,"The Beeches - Hostess , Worthington - Speaker , Mrs. Swanwick -Chair , Miss Hitchcock",,"APRIL 18 , 1913"
APRIL 23,Castleford - Women's Co - operative Guild - Co - opera- tive Hall,Castleford - Women's Co - operative Guild - Co - opera- tive Hall - Miss I. O. Ford .,,"APRIL 18 , 1913"
APRIL 24,Woking Public Hall,"Woking Public Hall The Earl of Lytton "" Votes for Women "" -Chair , Marchioness of Downshire - Perform- of "" The £ 12 Look "" -the Actresses ' Franchise League",,"APRIL 18 , 1913"
APRIL 24,"Hove 24 , Olarendon Villas","Hove 24 , Clarendon Villas - Miss Coast , "" Sweated Industries """,,"APRIL 18 , 1913"
APRIL 24,Felixstowe Hamilton Hall,"Felixstowe Hamilton Hall - Public meeting - Chair , Mrs. W. T. Griffiths - Mrs . Swanwick , M.A.",,"APRIL 18 , 1913"
APRIL 24,Llangollen - Pavilion,"Llangollen - Pavilion - Speaker , Mrs. F. A. Steel- Chair , Mrs. John Aikin",,"APRIL 18 , 1913"
APRIL 24,"Gateshead - Suffrage office , 115 , High West Street","Gateshead - Suffrage office , 115 , High West Street- Social meeting - Speaker , Miss Sheard",,"APRIL 18 , 1913"
APRIL 24,"Bristol 2 , Park Avenue , Victoria Park","Bristol 2 , Park Avenue , Victoria Park - Miss Tanner , Mrs. Willis",,"APRIL 18 , 1913"
APRIL 24,Stowmarket,Stowmarket,,"APRIL 18 , 1913"
APRIL 26,Preston - Café Orient,Preston - Café Orient - Meeting for members and friends - dramatic performance,,"APRIL 18 , 1913"
APRIL 26,Gateshead Ely Street,Gateshead Ely Street - Jumble Sale,,"APRIL 18 , 1913"
APRIL 26,Broadwater - The Shrubbery,"Broadwater - The Shrubbery - Mrs . Chapman's "" At Home "" -Chair , Hon . Mrs. Bertrand Russell Speaker , Miss Rosamund Smith , "" Friends of Women's Suffrage Scheme . """,,"APRIL 18 , 1913"
APRIL 28,Hindley ( Wigan ) -Public Hall,"Hindley ( Wigan ) -Public Hall - Meeting - Chair , Mr. Cooper Speakers , Mr. Stephen Walsh , M.P. , Mrs. Müter Wilson , Mrs. Annot Robinson",,"APRIL 18 , 1913"
APRIL 18,"Islington - Miss J. Bisset Smith's , 57 , Hillmarton Road , N.","Islington - Miss J. Bisset Smith's , 57 , Hillmarton Road , N. - Study Circle",,"APRIL 18 , 1913"
APRIL 21,"Walthamstow - The Pioneer Institure , 182 , Hoe Street","Walthamstow - The Pioneer Institure , 182 , Hoe Street Lantern Lecture on Hungary , "" by Miss A. Hibbert - Ware",,"APRIL 18 , 1913"
APRIL 23,"Highgate and North St. Pancras - 21 , Clevedon Mansions , Lissenden Gardens , N.W.","Highgate and North St. Pancras - 21 , Clevedon Mansions , Lissenden Gardens , N.W.- Drawing - room meeting - Hostess , Mrs. Ronald Garrett - Chair , Mrs. Garrett -Speaker , Mrs. Henry Fawcett , LL.D.",,"APRIL 18 , 1913"
APRIL 23,"Holborn and South St. Pancras - 25 , Cartwright Gardens , Euston Road , W.C.","Holborn and South St. Pancras - 25 , Cartwright Gardens , Euston Road , W.C. - Social meeting for working women - Speaker , Miss Anna Martin , B.A. - Tea",,"APRIL 18 , 1913"
APRIL 24,"Holborn and South St. Pancras - 6 , Gordon Square , W.C.","Holborn and South St. Pancras - 6 , Gordon Square , W.C. - Drawing - room meeting - Hostess , Mrs. Candey Speaker , Mrs. Giming- ham , M.A .- ( A genuine old Chinese robe will be for sale . ) Meeting 3.30 , Tea 4.30 .",,"APRIL 18 , 1913"
APRIL 24,"Hoxton Hoxton Market Mission , Pitfield Street","Hoxton Hoxton Market Mission , Pitfield Street- Three meetings - Speakers , Miss Anna Martin , B.A. , Miss Ruth Young",,"APRIL 18 , 1913"
APRIL 24,"North Hackney - Ferndale , 4 , Durley Road , Am- hurst Park , N.","North Hackney - Ferndale , 4 , Durley Road , Am- hurst Park , N. - Drawing - room meeting -Hostess , Mrs. Summers Speaker , Miss Agnes Dawson",,"APRIL 18 , 1913"
APRIL 25,"Islington - 57 , Hillmarton Road , N.","Islington - 57 , Hillmarton Road , N. - Study Circle .",,"APRIL 18 , 1913"
APRIL 26,"Stepney - Trafalgar Athletic Union- Trafalgar Square Evening School , White Horse Lane","Stepney - Trafalgar Athletic Union- Trafalgar Square Evening School , White Horse Lane - Debate - Captain Furber , Mr. Maurice Liverman",,"APRIL 18 , 1913"
APRIL 28,"Islington - Mrs . Bartram's , Fernlea , Kelross Road , Highbury","Islington - Mrs . Bartram's , Fernlea , Kelross Road , Highbury - Study Circle",,"APRIL 18 , 1913"
APRIL 28,"Greenwich - St . Paul's Parochial Hall , Royal Hill","Greenwich - St . Paul's Parochial Hall , Royal Hill- Public Meeting - Chair , The Ven . Arch- deacon Escreet - Speaker , Miss Sterling",,"APRIL 18 , 1913"
APRIL 28,Kensington - Upper Kensington Lane Council School,"Kensington - Upper Kensington Lane Council School Public Meeting Speakers , Miss M. Fielden , Miss F. M. Hewitt",,"APRIL 18 , 1913"
APRIL 18,"Edinburgh 40 , Shandwick Place","Edinburgh 40 , Shandwick Place- "" At Home "" - Speaker , Miss Muriel Matters , "" Penal Reform",,"APRIL 18 , 1913"
APRIL 18,Newhaven - Free Fisherman's Hall,Newhaven - Free Fisherman's Hall - Miss Muriel Matters,,"APRIL 18 , 1913"
APRIL 19,Bo'ness,"Bo'ness "" At Home "" -Miss Muriel Matters",,"APRIL 18 , 1913"
APRIL 22,Edinburgh - Livingstone Hall,"Edinburgh - Livingstone Hall - Miss Matters , Miss Alice Low",,"APRIL 18 , 1913"
APRIL 22,"Glasgow - 151 , Greenhead Street , Bridgeton - Miss W. Kerr's Drawing - room","Glasgow - 151 , Greenhead Street , Bridgeton - Miss W. Kerr's Drawing - room meeting- Miss Kirby , Dr. Jane Robertson .",,"APRIL 18 , 1913"
APRIL 23,"Leith - Board Room , Co - operative Society , Bangor Road","Leith - Board Room , Co - operative Society , Bangor Road , Miss Muriel Matters",,"APRIL 18 , 1913"
APRIL 24,Newtongrange Lothian Hall ( I.L.P. Party ),"Newtongrange Lothian Hall ( I.L.P. Party ) - Speaker , Miss Muriel Matters",,"APRIL 18 , 1913"
APRIL 25,"40 , Shandwick Place","Public meeting 40 , Shandwick Place - Speaker , Miss Muriel Matters",,"APRIL 18 , 1913"
APRIL 26,"Leith- Smith's Rooms , Leith ( Duke Street )","Leith Public meeting - Smith's Rooms , Leith ( Duke Street ) Speaker , Miss Muriel Matters",,"APRIL 18 , 1913"
APRIL 26,"Edinburgh- 25 , Regent Terrace ( Mrs. McLaren )","Edinburgh Drawing - room meeting - 25 , Regent Terrace ( Mrs. McLaren ) -Miss Muriel Matters , Miss Alice Low",,"APRIL 18 , 1913"
APRIL 22,Totterdown Co - operative Guild,Totterdown Co - operative Guild Miss Agnes Tanner,,"APRIL 18 , 1913"
APRIL 19,New Seaham - I.L.P,New Seaham - I.L.P .,,"APRIL 18 , 1913"
APRIL 19,Houghton - I.L.P,Houghton - I.L.P .,,"APRIL 18 , 1913"
APRIL 21,"Miners ' Hall , Ryhope","Miners ' Hall , Ryhope - Chair , Councillor R. Richardson",,"APRIL 18 , 1913"
APRIL 23,Ryhope,Preliminary meeting - Ryhope,,"APRIL 18 , 1913"
APRIL 23,"Miners ' Lodge , Moorsley","Miners ' Lodge , Moorsley",,"APRIL 18 , 1913"
APRIL 23,Philadelphia,Preliminary meeting - Philadelphia,,"APRIL 18 , 1913"
APRIL 30,"B.W.T.A. , New Herrington","B.W.T.A. , New Herrington .",,"APRIL 18 , 1913"
APRIL 25,Waterford,Waterford,,"APRIL 18 , 1913"
APRIL 26,Cork,Cork,,"APRIL 18 , 1913"
APRIL 28,Cork,Cork,,"APRIL 18 , 1913"
APRIL 29,Limerick,Limerick,,"APRIL 18 , 1913"
APRIL 30,Nenagh,Nenagh,,"APRIL 18 , 1913"
MAY 1,Birr,Birr,,"APRIL 18 , 1913"
MAY 2,Dublin,Dublin,,"APRIL 18 , 1913"
MAY 3,Dublin,Dublin,,"APRIL 18 , 1913"
APRIL 23,"Bridgnorth , Shropshire- Fairfield","A DRAWING - ROOM MEETING will be held at the house of Miss Southwell , "" Fairfield , "" Bridgnorth , Shropshire , April 23rd . Chair , the Rev. W. G. Clark - Maxwell . Speaker , Miss Abadam . "" White Slave Traffic . """,,"APRIL 18 , 1913"
APRIL 24,Y.M.C.A. Hall ( opposite T.U.R. ),"CHURCH LEAGUE FOR WOMEN'S SUFFRAGE ( CARDIFF BRANCH ) . First Public Meeting , Y.M.C.A. Hall ( opposite T.U.R. ) , Thursday , April 24th , 8 p.m. Speaker , Rev. Claude Hinscliff . Admission free .",,"APRIL 18 , 1913"
APRIL 23,Caxton Hall,"WOMEN'S FREEDOM LEAGUE . Public Meeting , Caxton Hall , April 23rd , at 3.30 p.m. Speakers : Mrs. Despard and Mrs. Merivale Mayer . Miss Nina Boyle . Admission free .",,"APRIL 18 , 1913"
